Name , Price 
Apple iPhone 13 (Blue, 128 GB) , 44999 
Apple iPhone 16 (Teal, 256 GB) , 84900 
Apple iPhone 16 (Black, 128 GB) , 74900 
Apple iPhone 15 (Blue, 128 GB) , 64999 
Apple iPhone 16 (Pink, 128 GB) , 74900 
Apple iPhone 16 (Pink, 256 GB) , 84900 
Apple iPhone 15 (Black, 128 GB) , 64999 
Apple iPhone 15 Plus (Black, 128 GB) , 68999 
Apple iPhone 16 Plus (Black, 256 GB) , 94900 
Apple iPhone 14 (Starlight, 128 GB) , 54999 
Apple iPhone 15 Plus (Black, 256 GB) , 78999 
Apple iPhone 16e (White, 128 GB) , 59900 
Apple iPhone 15 Plus (Green, 256 GB) , 78999 
Apple iPhone 16 (White, 128 GB) , 74900 
Apple iPhone 15 (Green, 128 GB) , 64999 
Apple iPhone 16 (Teal, 128 GB) , 74900 
Apple iPhone 16 Plus (Black, 128 GB) , 84900 
Apple iPhone 16 (White, 256 GB) , 84900 
Apple iPhone 16 Pro (Natural Titanium, 128 GB) , 112900 
Apple iPhone 16e (Black, 128 GB) , 59900 
Apple iPhone 15 Plus (Blue, 128 GB) , 68999 
Apple iPhone 16 Pro (White Titanium, 128 GB) , 112900 
Apple iPhone 16 Plus (Ultramarine, 128 GB) , 84900 
Apple iPhone 15 Plus (Blue, 256 GB) , 78999 
